group,dataset,mde,iters,solver,pose_mAA_10,mean_mde_runtime,mean_inliers
vegetation,dresden_1,DepthAnythingV2-vitb,10,calib,61.09,98.97,66.26
vegetation,dresden_1,DepthAnythingV2-vitb,10,sf,39.83,98.97,57.18
vegetation,dresden_1,DepthAnythingV2-vitb,10,calib_shift,50.77,98.97,59.11
vegetation,dresden_1,DepthAnythingV2-vitb,10,sf_shift,22.44,98.97,39.17
vegetation,dresden_1,DepthAnythingV2-vitb,10,calib_ro,48.51,98.97,67.07
vegetation,dresden_1,DepthAnythingV2-vitb,10,sf_ro,36.62,98.97,69.85
vegetation,dresden_1,DepthAnythingV2-vitb,10,calib_shift_ro,45.13,98.97,70.65
vegetation,dresden_1,DepthAnythingV2-vitb,10,sf_shift_ro,23.87,98.97,56.17
vegetation,dresden_1,DepthAnythingV2-vitb,100,calib,76.45,98.97,73.47
vegetation,dresden_1,DepthAnythingV2-vitb,100,sf,56.97,98.97,71.87
vegetation,dresden_1,DepthAnythingV2-vitb,100,calib_shift,72.86,98.97,72.02
vegetation,dresden_1,DepthAnythingV2-vitb,100,sf_shift,35.48,98.97,61.92
vegetation,dresden_1,DepthAnythingV2-vitb,100,calib_ro,49.05,98.97,68.75
vegetation,dresden_1,DepthAnythingV2-vitb,100,sf_ro,42.09,98.97,75.65
vegetation,dresden_1,DepthAnythingV2-vitb,100,calib_shift_ro,53.1,98.97,74.25
vegetation,dresden_1,DepthAnythingV2-vitb,100,sf_shift_ro,34.32,98.97,72.15
vegetation,dresden_1,DepthAnythingV2-vitb,500,calib,78.62,98.97,75.25
vegetation,dresden_1,DepthAnythingV2-vitb,500,sf,60.41,98.97,74.78
vegetation,dresden_1,DepthAnythingV2-vitb,500,calib_shift,77.5,98.97,74.25
vegetation,dresden_1,DepthAnythingV2-vitb,500,sf_shift,45.18,98.97,68.19
vegetation,dresden_1,DepthAnythingV2-vitb,500,calib_ro,49.1,98.97,68.96
vegetation,dresden_1,DepthAnythingV2-vitb,500,sf_ro,43.94,98.97,76.48
vegetation,dresden_1,DepthAnythingV2-vitb,500,calib_shift_ro,53.68,98.97,75.0
vegetation,dresden_1,DepthAnythingV2-vitb,500,sf_shift_ro,36.35,98.97,74.48
vegetation,dresden_1,DepthAnythingV2-vitb,1000,calib,79.69,98.97,75.61
vegetation,dresden_1,DepthAnythingV2-vitb,1000,sf,60.87,98.97,75.19
vegetation,dresden_1,DepthAnythingV2-vitb,1000,calib_shift,81.02,98.97,75.11
vegetation,dresden_1,DepthAnythingV2-vitb,1000,sf_shift,48.36,98.97,69.21
vegetation,dresden_1,DepthAnythingV2-vitb,1000,calib_ro,49.27,98.97,69.06
vegetation,dresden_1,DepthAnythingV2-vitb,1000,sf_ro,44.21,98.97,76.82
vegetation,dresden_1,DepthAnythingV2-vitb,1000,calib_shift_ro,54.94,98.97,75.11
vegetation,dresden_1,DepthAnythingV2-vitb,1000,sf_shift_ro,36.64,98.97,75.01
vegetation,dresden_1,DepthAnythingV2-vitl,10,calib,62.97,173.79,58.4
vegetation,dresden_1,DepthAnythingV2-vitl,10,sf,49.13,173.79,60.54
vegetation,dresden_1,DepthAnythingV2-vitl,10,calib_shift,54.27,173.79,54.95
vegetation,dresden_1,DepthAnythingV2-vitl,10,sf_shift,24.79,173.79,40.67
vegetation,dresden_1,DepthAnythingV2-vitl,10,calib_ro,48.06,173.79,67.01
vegetation,dresden_1,DepthAnythingV2-vitl,10,sf_ro,37.96,173.79,71.4
vegetation,dresden_1,DepthAnythingV2-vitl,10,calib_shift_ro,48.28,173.79,69.78
vegetation,dresden_1,DepthAnythingV2-vitl,10,sf_shift_ro,26.35,173.79,56.14
vegetation,dresden_1,DepthAnythingV2-vitl,100,calib,72.21,173.79,64.78
vegetation,dresden_1,DepthAnythingV2-vitl,100,sf,60.06,173.79,73.3
vegetation,dresden_1,DepthAnythingV2-vitl,100,calib_shift,71.1,173.79,67.14
vegetation,dresden_1,DepthAnythingV2-vitl,100,sf_shift,40.92,173.79,63.86
vegetation,dresden_1,DepthAnythingV2-vitl,100,calib_ro,51.99,173.79,69.39
vegetation,dresden_1,DepthAnythingV2-vitl,100,sf_ro,45.52,173.79,77.0
vegetation,dresden_1,DepthAnythingV2-vitl,100,calib_shift_ro,54.02,173.79,74.78
vegetation,dresden_1,DepthAnythingV2-vitl,100,sf_shift_ro,36.11,173.79,72.26
vegetation,dresden_1,DepthAnythingV2-vitl,500,calib,75.73,173.79,67.35
vegetation,dresden_1,DepthAnythingV2-vitl,500,sf,65.54,173.79,75.68
vegetation,dresden_1,DepthAnythingV2-vitl,500,calib_shift,77.04,173.79,71.35
vegetation,dresden_1,DepthAnythingV2-vitl,500,sf_shift,49.14,173.79,69.78
vegetation,dresden_1,DepthAnythingV2-vitl,500,calib_ro,52.49,173.79,69.42
vegetation,dresden_1,DepthAnythingV2-vitl,500,sf_ro,46.68,173.79,77.39
vegetation,dresden_1,DepthAnythingV2-vitl,500,calib_shift_ro,55.69,173.79,75.45
vegetation,dresden_1,DepthAnythingV2-vitl,500,sf_shift_ro,39.37,173.79,74.82
vegetation,dresden_1,DepthAnythingV2-vitl,1000,calib,75.99,173.79,68.26
vegetation,dresden_1,DepthAnythingV2-vitl,1000,sf,68.21,173.79,76.9
vegetation,dresden_1,DepthAnythingV2-vitl,1000,calib_shift,78.25,173.79,72.13
vegetation,dresden_1,DepthAnythingV2-vitl,1000,sf_shift,52.5,173.79,71.55
vegetation,dresden_1,DepthAnythingV2-vitl,1000,calib_ro,52.58,173.79,69.46
vegetation,dresden_1,DepthAnythingV2-vitl,1000,sf_ro,47.09,173.79,77.53
vegetation,dresden_1,DepthAnythingV2-vitl,1000,calib_shift_ro,55.62,173.79,75.52
vegetation,dresden_1,DepthAnythingV2-vitl,1000,sf_shift_ro,40.76,173.79,75.3
vegetation,dresden_1,DepthAnythingV2-vits,10,calib,56.79,62.81,64.13
vegetation,dresden_1,DepthAnythingV2-vits,10,sf,37.05,62.81,55.75
vegetation,dresden_1,DepthAnythingV2-vits,10,calib_shift,52.46,62.81,59.1
vegetation,dresden_1,DepthAnythingV2-vits,10,sf_shift,22.78,62.81,39.43
vegetation,dresden_1,DepthAnythingV2-vits,10,calib_ro,42.51,62.81,65.46
vegetation,dresden_1,DepthAnythingV2-vits,10,sf_ro,32.7,62.81,65.6
vegetation,dresden_1,DepthAnythingV2-vits,10,calib_shift_ro,43.55,62.81,69.86
vegetation,dresden_1,DepthAnythingV2-vits,10,sf_shift_ro,28.56,62.81,57.44
vegetation,dresden_1,DepthAnythingV2-vits,100,calib,75.37,62.81,73.23
vegetation,dresden_1,DepthAnythingV2-vits,100,sf,51.64,62.81,69.96
vegetation,dresden_1,DepthAnythingV2-vits,100,calib_shift,72.57,62.81,71.67
vegetation,dresden_1,DepthAnythingV2-vits,100,sf_shift,35.0,62.81,61.24
vegetation,dresden_1,DepthAnythingV2-vits,100,calib_ro,43.85,62.81,67.49
vegetation,dresden_1,DepthAnythingV2-vits,100,sf_ro,40.64,62.81,74.26
vegetation,dresden_1,DepthAnythingV2-vits,100,calib_shift_ro,48.42,62.81,72.88
vegetation,dresden_1,DepthAnythingV2-vits,100,sf_shift_ro,33.09,62.81,69.46
vegetation,dresden_1,DepthAnythingV2-vits,500,calib,77.5,62.81,74.89
vegetation,dresden_1,DepthAnythingV2-vits,500,sf,59.7,62.81,74.1
vegetation,dresden_1,DepthAnythingV2-vits,500,calib_shift,79.22,62.81,74.57
vegetation,dresden_1,DepthAnythingV2-vits,500,sf_shift,43.82,62.81,68.0
vegetation,dresden_1,DepthAnythingV2-vits,500,calib_ro,44.4,62.81,67.74
vegetation,dresden_1,DepthAnythingV2-vits,500,sf_ro,41.24,62.81,74.89
vegetation,dresden_1,DepthAnythingV2-vits,500,calib_shift_ro,49.08,62.81,73.47
vegetation,dresden_1,DepthAnythingV2-vits,500,sf_shift_ro,33.25,62.81,72.69
vegetation,dresden_1,DepthAnythingV2-vits,1000,calib,78.66,62.81,75.32
vegetation,dresden_1,DepthAnythingV2-vits,1000,sf,61.08,62.81,74.88
vegetation,dresden_1,DepthAnythingV2-vits,1000,calib_shift,80.74,62.81,75.09
vegetation,dresden_1,DepthAnythingV2-vits,1000,sf_shift,45.74,62.81,69.68
vegetation,dresden_1,DepthAnythingV2-vits,1000,calib_ro,44.6,62.81,67.76
vegetation,dresden_1,DepthAnythingV2-vits,1000,sf_ro,41.69,62.81,75.22
vegetation,dresden_1,DepthAnythingV2-vits,1000,calib_shift_ro,49.75,62.81,73.66
vegetation,dresden_1,DepthAnythingV2-vits,1000,sf_shift_ro,33.17,62.81,73.67
vegetation,dresden_1,DepthAnythingV3-DA3METRIC-LARGE,10,calib,59.71,88.01,67.0
vegetation,dresden_1,DepthAnythingV3-DA3METRIC-LARGE,10,sf,39.59,88.01,59.7
vegetation,dresden_1,DepthAnythingV3-DA3METRIC-LARGE,10,calib_shift,42.87,88.01,55.4
vegetation,dresden_1,DepthAnythingV3-DA3METRIC-LARGE,10,sf_shift,24.48,88.01,41.75
vegetation,dresden_1,DepthAnythingV3-DA3METRIC-LARGE,10,calib_ro,40.45,88.01,65.9
vegetation,dresden_1,DepthAnythingV3-DA3METRIC-LARGE,10,sf_ro,30.35,88.01,71.33
vegetation,dresden_1,DepthAnythingV3-DA3METRIC-LARGE,10,calib_shift_ro,36.79,88.01,66.07
vegetation,dresden_1,DepthAnythingV3-DA3METRIC-LARGE,10,sf_shift_ro,18.43,88.01,53.33
vegetation,dresden_1,DepthAnythingV3-DA3METRIC-LARGE,100,calib,68.98,88.01,73.84
vegetation,dresden_1,DepthAnythingV3-DA3METRIC-LARGE,100,sf,53.67,88.01,73.13
vegetation,dresden_1,DepthAnythingV3-DA3METRIC-LARGE,100,calib_shift,58.14,88.01,70.4
vegetation,dresden_1,DepthAnythingV3-DA3METRIC-LARGE,100,sf_shift,35.07,88.01,62.23
vegetation,dresden_1,DepthAnythingV3-DA3METRIC-LARGE,100,calib_ro,41.64,88.01,67.98
vegetation,dresden_1,DepthAnythingV3-DA3METRIC-LARGE,100,sf_ro,34.27,88.01,74.63
vegetation,dresden_1,DepthAnythingV3-DA3METRIC-LARGE,100,calib_shift_ro,41.82,88.01,71.61
vegetation,dresden_1,DepthAnythingV3-DA3METRIC-LARGE,100,sf_shift_ro,22.93,88.01,68.56
vegetation,dresden_1,DepthAnythingV3-DA3METRIC-LARGE,500,calib,72.81,88.01,75.88
vegetation,dresden_1,DepthAnythingV3-DA3METRIC-LARGE,500,sf,60.88,88.01,76.6
vegetation,dresden_1,DepthAnythingV3-DA3METRIC-LARGE,500,calib_shift,65.51,88.01,74.02
vegetation,dresden_1,DepthAnythingV3-DA3METRIC-LARGE,500,sf_shift,44.15,88.01,68.5
vegetation,dresden_1,DepthAnythingV3-DA3METRIC-LARGE,500,calib_ro,42.83,88.01,68.18
vegetation,dresden_1,DepthAnythingV3-DA3METRIC-LARGE,500,sf_ro,36.77,88.01,75.82
vegetation,dresden_1,DepthAnythingV3-DA3METRIC-LARGE,500,calib_shift_ro,44.65,88.01,72.35
vegetation,dresden_1,DepthAnythingV3-DA3METRIC-LARGE,500,sf_shift_ro,26.48,88.01,72.81
vegetation,dresden_1,DepthAnythingV3-DA3METRIC-LARGE,1000,calib,75.26,88.01,76.24
vegetation,dresden_1,DepthAnythingV3-DA3METRIC-LARGE,1000,sf,61.89,88.01,77.24
vegetation,dresden_1,DepthAnythingV3-DA3METRIC-LARGE,1000,calib_shift,69.56,88.01,75.22
vegetation,dresden_1,DepthAnythingV3-DA3METRIC-LARGE,1000,sf_shift,47.54,88.01,70.41
vegetation,dresden_1,DepthAnythingV3-DA3METRIC-LARGE,1000,calib_ro,42.78,88.01,68.15
