group,dataset,mde,iters,solver,pose_mAA_10,mean_mde_runtime,mean_inliers
vegetation,dresden_1,DepthAnythingV2-vitb,10,calib,46.87,98.97,50.91
vegetation,dresden_1,DepthAnythingV2-vitb,10,sf,27.79,98.97,41.91
vegetation,dresden_1,DepthAnythingV2-vitb,10,calib_shift,38.53,98.97,44.38
vegetation,dresden_1,DepthAnythingV2-vitb,10,sf_shift,18.1,98.97,31.56
vegetation,dresden_1,DepthAnythingV2-vitb,10,calib_ro,38.67,98.97,48.38
vegetation,dresden_1,DepthAnythingV2-vitb,10,sf_ro,24.8,98.97,51.63
vegetation,dresden_1,DepthAnythingV2-vitb,10,calib_shift_ro,36.45,98.97,54.55
vegetation,dresden_1,DepthAnythingV2-vitb,10,sf_shift_ro,10.21,98.97,44.82
vegetation,dresden_1,DepthAnythingV2-vitb,100,calib,59.02,98.97,57.83
vegetation,dresden_1,DepthAnythingV2-vitb,100,sf,40.13,98.97,55.07
vegetation,dresden_1,DepthAnythingV2-vitb,100,calib_shift,56.15,98.97,56.48
vegetation,dresden_1,DepthAnythingV2-vitb,100,sf_shift,27.84,98.97,48.28
vegetation,dresden_1,DepthAnythingV2-vitb,100,calib_ro,41.32,98.97,50.5
vegetation,dresden_1,DepthAnythingV2-vitb,100,sf_ro,31.61,98.97,59.84
vegetation,dresden_1,DepthAnythingV2-vitb,100,calib_shift_ro,39.8,98.97,58.97
vegetation,dresden_1,DepthAnythingV2-vitb,100,sf_shift_ro,14.73,98.97,62.78
vegetation,dresden_1,DepthAnythingV2-vitb,500,calib,61.49,98.97,59.74
vegetation,dresden_1,DepthAnythingV2-vitb,500,sf,44.42,98.97,58.78
vegetation,dresden_1,DepthAnythingV2-vitb,500,calib_shift,59.22,98.97,58.31
vegetation,dresden_1,DepthAnythingV2-vitb,500,sf_shift,32.94,98.97,53.08
vegetation,dresden_1,DepthAnythingV2-vitb,500,calib_ro,41.29,98.97,50.79
vegetation,dresden_1,DepthAnythingV2-vitb,500,sf_ro,31.9,98.97,60.93
